index,descriptors,relative_frequency
"Syrah, Santa Barbara, Central Coast, California, USA",slate,0.01
"Chardonnay, Monterey, Central Coast, California, USA",jam,0.01
"Petite Sirah, Sonoma Valley, North Coast, California, USA",raspberry,0.01
"Chardonnay, Santa Barbara, Central Coast, California, USA",lemon_peel,0.00
"Sauvignon Blanc, Columbia Valley, Washington, USA",lees,0.01
"Pinot Noir, Central Otago, New Zealand",mushroom,0.01
"Sauvignon Blanc, Casablanca Valley, Aconcagua Region, Chile",pea,0.01
"Cabernet Franc, Finger Lakes, New York, USA",rose,0.01
"Cabernet Sauvignon, Curico Valley, Central Valley, Chile",mulch,0.01
"Riesling, Columbia Valley, Washington, USA",lees,0.00
"Chardonnay, Napa Valley, North Coast, California, USA",tire_rubber,0.00
"Bordeaux-style Red Blend, Napa Valley, North Coast, California, USA",inky,0.00
"Syrah, Coastal Region, South Africa",gravel,0.01
"Chardonnay, Coastal Region, South Africa",almond,0.01
"Merlot, Colchagua Valley, Central Valley, Chile",toast,0.01
"Pinot Noir, Napa-Sonoma, North Coast, California, USA",stalky,0.00
"Syrah, Colchagua Valley, Central Valley, Chile",coconut,0.01
"Riesling, Mosel, Germany",wax,0.01
"Zinfandel, Napa Valley, North Coast, California, USA",toast,0.01
"Bordeaux-style Red Blend, Columbia Valley, Washington, USA",boysenberry,0.01
"Cabernet Sauvignon, Coastal Region, South Africa",soapy,0.01
"Pinot Grigio, Willamette Valley, Oregon, USA",gooseberry,0.00
"Chardonnay, Finger Lakes, New York, USA",lemon_peel,0.01
"Cabernet Franc, Columbia Valley, Washington, USA",tobacco,0.01
"Merlot, Napa Valley, North Coast, California, USA",pepper,0.00
"Viognier, Santa Barbara, Central Coast, California, USA",grass,0.01
"Sauvignon Blanc, Santa Barbara, Central Coast, California, USA",nectarine,0.00
"White Blend, Columbia Valley, Washington, USA",almond,0.01
"Chardonnay, San Francisco Bay, Central Coast, California, USA",kumquat,0.01
"Syrah, Napa Valley, North Coast, California, USA",citrus,0.00
"Bordeaux-style Red Blend, Sonoma Valley, North Coast, California, USA",chocolate,0.01
"Cabernet Sauvignon, Colchagua Valley, Central Valley, Chile",smoked_meat,0.01
"Chardonnay, San Luis Obispo, Central Coast, California, USA",orange,0.01
"Gruner Veltliner, Niederosterreich, Austria",juicy,0.00
"Malbec, Columbia Valley, Washington, USA",lees,0.00
"Pinot Noir, Monterey, Central Coast, California, USA",strawberry,0.00
"Riesling, Rheinhessen, Germany",moss,0.01
"Riesling, Rheingau, Germany",plum,0.01
"Pinot Noir, Santa Barbara, Central Coast, California, USA",lime,0.00
"Merlot, Columbia Valley, Washington, USA",leafy,0.01
"Sauvignon Blanc, Coastal Region, South Africa",meat,0.01
"Syrah, Paso Robles, Central Coast, California, USA",funky,0.00
"Syrah, Columbia Valley, Washington, USA",new_oak,0.01
"Syrah, Sierra Foothills, California, USA",strawberry,0.01
"Syrah, Southern Oregon, Oregon, USA",leather,0.01
"Cabernet Sauvignon, Napa Valley, North Coast, California, USA",lactic,0.00
"Chardonnay, Columbia Valley, Washington, USA",pea,0.00
"Cabernet Sauvignon, Inland Valleys, California, USA",savory,0.01
"Merlot, Sonoma Valley, North Coast, California, USA",steak,0.00
"Chardonnay, Casablanca Valley, Aconcagua Region, Chile",sweat,0.00
"Zinfandel, Inland Valleys, California, USA",american_oak,0.01
"Syrah, Sonoma Valley, North Coast, California, USA",plum,0.01
"Chardonnay, Long Island, New York, USA",grapefruit,0.01
"Chardonnay, Sonoma Valley, North Coast, California, USA",tangerine,0.01
"Cabernet Sauvignon, Paso Robles, Central Coast, California, USA",earthy,0.00
"Cabernet Sauvignon, Maipo Valley, Central Valley, Chile",root,0.01
"Riesling, Niederosterreich, Austria",herb,0.00
"Zinfandel, Paso Robles, Central Coast, California, USA",cinnamon,0.01
"Zinfandel, Sierra Foothills, California, USA",rocky,0.01
"Sauvignon Blanc, Napa Valley, North Coast, California, USA",citrus_peel,0.01
"Chardonnay, Willamette Valley, Oregon, USA",almond,0.01
"Cabernet Sauvignon, Sonoma Valley, North Coast, California, USA",milk_chocolate,0.00
"Pinot Noir, Marlborough, New Zealand",pomegranate,0.01
"Pinot Noir, Sonoma Valley, North Coast, California, USA",mushroom,0.00
"Cabernet Sauvignon, San Francisco Bay, Central Coast, California, USA",olive,0.01
"Pinot Noir, San Francisco Bay, Central Coast, California, USA",unripe,0.00
"Zinfandel, Sonoma Valley, North Coast, California, USA",caramel,0.01
"Viognier, Columbia Valley, Washington, USA",dust,0.01
"Sauvignon Blanc, Paso Robles, Central Coast, California, USA",vegetal,0.01
"Pinot Noir, San Luis Obispo, Central Coast, California, USA",sandalwood,0.00
"Pinot Noir, Willamette Valley, Oregon, USA",tomato,0.01
"Merlot, Long Island, New York, USA",wood,0.01
"Chardonnay, Napa-Sonoma, North Coast, California, USA",toasted_nut,0.01
"Sangiovese, Columbia Valley, Washington, USA",earth,0.00
"Cabernet Sauvignon, Columbia Valley, Washington, USA",grapey,0.01
"Sauvignon Blanc, Marlborough, New Zealand",fig,0.01
"Sauvignon Blanc, Sonoma Valley, North Coast, California, USA",tangerine,0.01
"Riesling, Finger Lakes, New York, USA",apricot,0.01
"Cabernet Franc, Napa Valley, North Coast, California, USA",inky,0.01
"Petite Sirah, Paso Robles, Central Coast, California, USA",inky,0.01
"Bordeaux-style Red Blend, Coastal Region, South Africa",stemmy,0.01
"Pinot Noir, Casablanca Valley, Aconcagua Region, Chile",smoke,0.01
"Riesling, Pfalz, Germany",super_ripe,0.01
"Syrah, Santa Barbara, Central Coast, California, USA",grilled_meat,0.01
"Chardonnay, Monterey, Central Coast, California, USA",chalk,0.00
"Chardonnay, Santa Barbara, Central Coast, California, USA",herb,0.00
"Sauvignon Blanc, Columbia Valley, Washington, USA",orange_peel,0.01
"Pinot Noir, Central Otago, New Zealand",pine,0.00
"Sauvignon Blanc, Casablanca Valley, Aconcagua Region, Chile",lemon,0.01
"Cabernet Franc, Finger Lakes, New York, USA",jam,0.01
"Cabernet Sauvignon, Curico Valley, Central Valley, Chile",chocolate,0.01
"Riesling, Columbia Valley, Washington, USA",tangerine,0.00
"Chardonnay, Napa Valley, North Coast, California, USA",ginger,0.00
"Bordeaux-style Red Blend, Napa Valley, North Coast, California, USA",candy,0.00
"Syrah, Coastal Region, South Africa",coffee,0.01
"Chardonnay, Coastal Region, South Africa",yellow_flower,0.01
"Merlot, Colchagua Valley, Central Valley, Chile",raisin_prune,0.01
"Pinot Noir, Napa-Sonoma, North Coast, California, USA",citrus,0.00
"Syrah, Colchagua Valley, Central Valley, Chile",smoke,0.01
"Riesling, Mosel, Germany",saffron,0.01
"Zinfandel, Napa Valley, North Coast, California, USA",herb,0.01
"Bordeaux-style Red Blend, Columbia Valley, Washington, USA",rose,0.01
"Cabernet Sauvignon, Coastal Region, South Africa",game,0.01
"Pinot Grigio, Willamette Valley, Oregon, USA",lime,0.00
"Chardonnay, Finger Lakes, New York, USA",nut,0.01
"Cabernet Franc, Columbia Valley, Washington, USA",jam,0.01
"Merlot, Napa Valley, North Coast, California, USA",jelly,0.00
"Viognier, Santa Barbara, Central Coast, California, USA",caramel,0.01
"Sauvignon Blanc, Santa Barbara, Central Coast, California, USA",herb,0.00
"White Blend, Columbia Valley, Washington, USA",orange_peel,0.01
"Chardonnay, San Francisco Bay, Central Coast, California, USA",game,0.01
"Syrah, Napa Valley, North Coast, California, USA",cola,0.00
"Bordeaux-style Red Blend, Sonoma Valley, North Coast, California, USA",chalk,0.01
"Cabernet Sauvignon, Colchagua Valley, Central Valley, Chile",strawberry,0.01
"Chardonnay, San Luis Obispo, Central Coast, California, USA",burnt,0.01
"Gruner Veltliner, Niederosterreich, Austria",leafy,0.00
"Malbec, Columbia Valley, Washington, USA",lemon,0.00
"Pinot Noir, Monterey, Central Coast, California, USA",flower,0.00
"Riesling, Rheinhessen, Germany",candy,0.01
"Riesling, Rheingau, Germany",diesel,0.01
"Pinot Noir, Santa Barbara, Central Coast, California, USA",iron,0.00
"Merlot, Columbia Valley, Washington, USA",cranberry,0.01
"Sauvignon Blanc, Coastal Region, South Africa",pea,0.01
"Syrah, Paso Robles, Central Coast, California, USA",soil,0.00
"Syrah, Columbia Valley, Washington, USA",flower,0.01
"Syrah, Sierra Foothills, California, USA",violet,0.01
"Syrah, Southern Oregon, Oregon, USA",leafy,0.01
"Cabernet Sauvignon, Napa Valley, North Coast, California, USA",savory,0.00
"Chardonnay, Columbia Valley, Washington, USA",super_ripe,0.00
"Cabernet Sauvignon, Inland Valleys, California, USA",plum,0.01
"Merlot, Sonoma Valley, North Coast, California, USA",toast,0.00
"Chardonnay, Casablanca Valley, Aconcagua Region, Chile",vegetal,0.00
"Zinfandel, Inland Valleys, California, USA",grapey,0.01
"Syrah, Sonoma Valley, North Coast, California, USA",earth,0.01
"Chardonnay, Long Island, New York, USA",citrus,0.01
"Chardonnay, Sonoma Valley, North Coast, California, USA",earth,0.00
"Cabernet Sauvignon, Paso Robles, Central Coast, California, USA",coffee,0.00
"Cabernet Sauvignon, Maipo Valley, Central Valley, Chile",loamy,0.01
"Riesling, Niederosterreich, Austria",petrol,0.00
"Zinfandel, Paso Robles, Central Coast, California, USA",herb,0.01
"Zinfandel, Sierra Foothills, California, USA",flower,0.01
"Sauvignon Blanc, Napa Valley, North Coast, California, USA",stone,0.00
"Chardonnay, Willamette Valley, Oregon, USA",grain,0.01
"Cabernet Sauvignon, Sonoma Valley, North Coast, California, USA",leather,0.00
"Pinot Noir, Marlborough, New Zealand",juicy,0.01
"Pinot Noir, Sonoma Valley, North Coast, California, USA",steak,0.00
"Cabernet Sauvignon, San Francisco Bay, Central Coast, California, USA",tobacco,0.01
"Pinot Noir, San Francisco Bay, Central Coast, California, USA",currant,0.00
"Zinfandel, Sonoma Valley, North Coast, California, USA",flower,0.00
"Viognier, Columbia Valley, Washington, USA",orange_blossom,0.00
"Pinot Noir, San Luis Obispo, Central Coast, California, USA",super_ripe,0.00
"Pinot Noir, Willamette Valley, Oregon, USA",funky,0.01
"Merlot, Long Island, New York, USA",dark_fruit,0.01
"Chardonnay, Napa-Sonoma, North Coast, California, USA",vegetal,0.01
"Sangiovese, Columbia Valley, Washington, USA",flower,0.00
"Cabernet Sauvignon, Columbia Valley, Washington, USA",lactic,0.01
"Sauvignon Blanc, Marlborough, New Zealand",celery,0.01
"Sauvignon Blanc, Sonoma Valley, North Coast, California, USA",petrol,0.01
"Riesling, Finger Lakes, New York, USA",grapefruit,0.01
"Cabernet Franc, Napa Valley, North Coast, California, USA",juicy,0.01
"Petite Sirah, Paso Robles, Central Coast, California, USA",mint,0.01
"Bordeaux-style Red Blend, Coastal Region, South Africa",pepper,0.01
"Pinot Noir, Casablanca Valley, Aconcagua Region, Chile",dust,0.01
"Syrah, Santa Barbara, Central Coast, California, USA",pastry,0.01
"Chardonnay, Monterey, Central Coast, California, USA",candy,0.00
"Chardonnay, Santa Barbara, Central Coast, California, USA",flower,0.00
"Sauvignon Blanc, Columbia Valley, Washington, USA",banana,0.01
"Pinot Noir, Central Otago, New Zealand",rosemary,0.00
"Sauvignon Blanc, Casablanca Valley, Aconcagua Region, Chile",vanilla_cream,0.01
"Cabernet Franc, Finger Lakes, New York, USA",juicy,0.01
"Riesling, Columbia Valley, Washington, USA",mushroom,0.00
"Chardonnay, Napa Valley, North Coast, California, USA",pine,0.00
"Bordeaux-style Red Blend, Napa Valley, North Coast, California, USA",weed,0.00
"Syrah, Coastal Region, South Africa",mulberry,0.01
"Chardonnay, Coastal Region, South Africa",spice,0.01
"Merlot, Colchagua Valley, Central Valley, Chile",almond,0.01
"Pinot Noir, Napa-Sonoma, North Coast, California, USA",unripe,0.00
"Syrah, Colchagua Valley, Central Valley, Chile",foxy,0.01
"Riesling, Mosel, Germany",bramble,0.01
"Zinfandel, Napa Valley, North Coast, California, USA",super_ripe,0.01
"Bordeaux-style Red Blend, Columbia Valley, Washington, USA",blackberry,0.01
"Cabernet Sauvignon, Coastal Region, South Africa",apple,0.01
"Pinot Grigio, Willamette Valley, Oregon, USA",spring_flower,0.00
"Chardonnay, Finger Lakes, New York, USA",honeydew,0.01
"Cabernet Franc, Columbia Valley, Washington, USA",chocolate,0.01
"Merlot, Napa Valley, North Coast, California, USA",mint,0.00
"Viognier, Santa Barbara, Central Coast, California, USA",beeswax,0.01
"Sauvignon Blanc, Santa Barbara, Central Coast, California, USA",pyrazines,0.00
"White Blend, Columbia Valley, Washington, USA",oily,0.01
"Chardonnay, San Francisco Bay, Central Coast, California, USA",orange,0.01
"Syrah, Napa Valley, North Coast, California, USA",feral,0.00
"Cabernet Sauvignon, Colchagua Valley, Central Valley, Chile",oily,0.01
"Chardonnay, San Luis Obispo, Central Coast, California, USA",mint,0.01
"Gruner Veltliner, Niederosterreich, Austria",plum,0.00
"Malbec, Columbia Valley, Washington, USA",dust,0.00
"Pinot Noir, Monterey, Central Coast, California, USA",rhubarb,0.00
"Riesling, Rheinhessen, Germany",mango,0.01
"Riesling, Rheingau, Germany",bread,0.01
"Pinot Noir, Santa Barbara, Central Coast, California, USA",graphite,0.00
"Merlot, Columbia Valley, Washington, USA",graphite,0.01
"Sauvignon Blanc, Coastal Region, South Africa",lemon_verbena,0.01
"Syrah, Paso Robles, Central Coast, California, USA",chocolate,0.00
"Syrah, Columbia Valley, Washington, USA",cranberry,0.01
"Syrah, Sierra Foothills, California, USA",wood,0.01
"Syrah, Southern Oregon, Oregon, USA",sappy,0.01
"Cabernet Sauvignon, Napa Valley, North Coast, California, USA",minerality,0.00
"Chardonnay, Columbia Valley, Washington, USA",celery,0.00
"Merlot, Sonoma Valley, North Coast, California, USA",cedar,0.00
"Chardonnay, Casablanca Valley, Aconcagua Region, Chile",juicy,0.00
"Zinfandel, Inland Valleys, California, USA",cheese,0.01
"Syrah, Sonoma Valley, North Coast, California, USA",funky,0.01
"Chardonnay, Long Island, New York, USA",candy,0.01
"Chardonnay, Sonoma Valley, North Coast, California, USA",juicy,0.00
"Cabernet Sauvignon, Paso Robles, Central Coast, California, USA",raspberry,0.00
"Cabernet Sauvignon, Maipo Valley, Central Valley, Chile",bell_pepper,0.01
"Riesling, Niederosterreich, Austria",earth,0.00
"Zinfandel, Paso Robles, Central Coast, California, USA",smoke,0.01
"Zinfandel, Sierra Foothills, California, USA",fruit-forward,0.01
"Sauvignon Blanc, Napa Valley, North Coast, California, USA",flint,0.00
"Chardonnay, Willamette Valley, Oregon, USA",potpourri,0.00
"Cabernet Sauvignon, Sonoma Valley, North Coast, California, USA",cranberry,0.00
"Pinot Noir, Marlborough, New Zealand",wood,0.01
"Pinot Noir, Sonoma Valley, North Coast, California, USA",pomegranate,0.00
"Cabernet Sauvignon, San Francisco Bay, Central Coast, California, USA",wood,0.01
"Pinot Noir, San Francisco Bay, Central Coast, California, USA",vegetal,0.00
"Zinfandel, Sonoma Valley, North Coast, California, USA",medicinal,0.00
"Viognier, Columbia Valley, Washington, USA",candy,0.00
"Pinot Noir, San Luis Obispo, Central Coast, California, USA",earthy,0.00
"Pinot Noir, Willamette Valley, Oregon, USA",blackberry,0.00
"Merlot, Long Island, New York, USA",mushroom,0.01
"Chardonnay, Napa-Sonoma, North Coast, California, USA",hay,0.01
"Sangiovese, Columbia Valley, Washington, USA",sandalwood,0.00
"Cabernet Sauvignon, Columbia Valley, Washington, USA",cranberry,0.01
"Sauvignon Blanc, Marlborough, New Zealand",flower,0.01
"Sauvignon Blanc, Sonoma Valley, North Coast, California, USA",smoke,0.01
"Riesling, Finger Lakes, New York, USA",stone_fruit,0.01
"Cabernet Franc, Napa Valley, North Coast, California, USA",earth,0.01
"Pinot Noir, Casablanca Valley, Aconcagua Region, Chile",vegetal,0.01
"Syrah, Santa Barbara, Central Coast, California, USA",caramel,0.01
"Chardonnay, Monterey, Central Coast, California, USA",unripe,0.00
"Chardonnay, Santa Barbara, Central Coast, California, USA",tire_rubber,0.00
"Sauvignon Blanc, Columbia Valley, Washington, USA",overripe,0.00
"Pinot Noir, Central Otago, New Zealand",bay_leaf,0.00
"Sauvignon Blanc, Casablanca Valley, Aconcagua Region, Chile",green_bean,0.01
"Cabernet Franc, Finger Lakes, New York, USA",tomato,0.01
"Riesling, Columbia Valley, Washington, USA",orange_peel,0.00
"Chardonnay, Napa Valley, North Coast, California, USA",butter_popcorn,0.00
"Bordeaux-style Red Blend, Napa Valley, North Coast, California, USA",stone,0.00
"Syrah, Coastal Region, South Africa",herb,0.01
"Chardonnay, Coastal Region, South Africa",cheese,0.01
"Merlot, Colchagua Valley, Central Valley, Chile",green_bean,0.01
"Pinot Noir, Napa-Sonoma, North Coast, California, USA",mint,0.00
"Syrah, Colchagua Valley, Central Valley, Chile",cheese,0.01
"Riesling, Mosel, Germany",rocks,0.01
"Zinfandel, Napa Valley, North Coast, California, USA",sanguine,0.00
"Bordeaux-style Red Blend, Columbia Valley, Washington, USA",french_oak,0.01
"Cabernet Sauvignon, Coastal Region, South Africa",strawberry,0.01
"Pinot Grigio, Willamette Valley, Oregon, USA",french_oak,0.00
"Chardonnay, Finger Lakes, New York, USA",plum,0.00
"Cabernet Franc, Columbia Valley, Washington, USA",raspberry,0.01
"Merlot, Napa Valley, North Coast, California, USA",cooked,0.00
"Sauvignon Blanc, Santa Barbara, Central Coast, California, USA",new_oak,0.00
"White Blend, Columbia Valley, Washington, USA",lees,0.01
"Chardonnay, San Francisco Bay, Central Coast, California, USA",grass,0.01
"Syrah, Napa Valley, North Coast, California, USA",grapey,0.00
"Cabernet Sauvignon, Colchagua Valley, Central Valley, Chile",candy,0.01
"Chardonnay, San Luis Obispo, Central Coast, California, USA",juicy,0.01
"Gruner Veltliner, Niederosterreich, Austria",grass,0.00
"Malbec, Columbia Valley, Washington, USA",mint,0.00
"Pinot Noir, Monterey, Central Coast, California, USA",boysenberry,0.00
"Riesling, Rheinhessen, Germany",bergamot,0.01
"Riesling, Rheingau, Germany",juicy,0.01
"Pinot Noir, Santa Barbara, Central Coast, California, USA",bramble,0.00
"Merlot, Columbia Valley, Washington, USA",licorice,0.00
"Sauvignon Blanc, Coastal Region, South Africa",white_flower,0.01
"Syrah, Paso Robles, Central Coast, California, USA",plum,0.00
"Syrah, Columbia Valley, Washington, USA",reductive,0.01
"Syrah, Sierra Foothills, California, USA",french_oak,0.01
"Cabernet Sauvignon, Napa Valley, North Coast, California, USA",olive,0.00
"Chardonnay, Columbia Valley, Washington, USA",lime,0.00
"Merlot, Sonoma Valley, North Coast, California, USA",herbacious,0.00
"Chardonnay, Casablanca Valley, Aconcagua Region, Chile",hickory,0.00
"Zinfandel, Inland Valleys, California, USA",blueberry,0.00
"Syrah, Sonoma Valley, North Coast, California, USA",coffee,0.01
"Chardonnay, Long Island, New York, USA",papaya,0.01
"Chardonnay, Sonoma Valley, North Coast, California, USA",flint,0.00
"Cabernet Sauvignon, Paso Robles, Central Coast, California, USA",peach,0.00
"Cabernet Sauvignon, Maipo Valley, Central Valley, Chile",vegetal,0.01
"Riesling, Niederosterreich, Austria",caramel,0.00
"Zinfandel, Paso Robles, Central Coast, California, USA",candy,0.01
"Zinfandel, Sierra Foothills, California, USA",currant,0.01
"Sauvignon Blanc, Napa Valley, North Coast, California, USA",mushroom,0.00
"Chardonnay, Willamette Valley, Oregon, USA",pastry,0.00
"Cabernet Sauvignon, Sonoma Valley, North Coast, California, USA",wild_berry,0.00
"Pinot Noir, Marlborough, New Zealand",cedar,0.00
"Pinot Noir, Sonoma Valley, North Coast, California, USA",feral,0.00
"Cabernet Sauvignon, San Francisco Bay, Central Coast, California, USA",bell_pepper,0.01
"Pinot Noir, San Francisco Bay, Central Coast, California, USA",new_oak,0.00
"Zinfandel, Sonoma Valley, North Coast, California, USA",feral,0.00
"Viognier, Columbia Valley, Washington, USA",herb,0.00
"Pinot Noir, San Luis Obispo, Central Coast, California, USA",weed,0.00
"Pinot Noir, Willamette Valley, Oregon, USA",truffle,0.00
"Merlot, Long Island, New York, USA",green_bean,0.01
"Chardonnay, Napa-Sonoma, North Coast, California, USA",weed,0.01
"Sangiovese, Columbia Valley, Washington, USA",chalk,0.00
"Cabernet Sauvignon, Columbia Valley, Washington, USA",fruit-forward,0.01
"Sauvignon Blanc, Marlborough, New Zealand",oak,0.00
"Sauvignon Blanc, Sonoma Valley, North Coast, California, USA",candy,0.01
"Riesling, Finger Lakes, New York, USA",underripe,0.01
"Pinot Noir, Casablanca Valley, Aconcagua Region, Chile",pine,0.01
"Syrah, Santa Barbara, Central Coast, California, USA",juicy,0.01
"Chardonnay, Monterey, Central Coast, California, USA",flint,0.00
"Chardonnay, Santa Barbara, Central Coast, California, USA",mango,0.00
"Sauvignon Blanc, Columbia Valley, Washington, USA",gooseberry,0.00
"Pinot Noir, Central Otago, New Zealand",super_ripe,0.00
"Sauvignon Blanc, Casablanca Valley, Aconcagua Region, Chile",kiwi,0.01
"Cabernet Franc, Finger Lakes, New York, USA",stalky,0.01
"Riesling, Columbia Valley, Washington, USA",perfumed,0.00
"Chardonnay, Napa Valley, North Coast, California, USA",honey,0.00
"Bordeaux-style Red Blend, Napa Valley, North Coast, California, USA",prune,0.00
"Syrah, Coastal Region, South Africa",salinity,0.01
"Chardonnay, Coastal Region, South Africa",allspice,0.01
"Merlot, Colchagua Valley, Central Valley, Chile",molasses,0.01
"Pinot Noir, Napa-Sonoma, North Coast, California, USA",leather,0.00
"Syrah, Colchagua Valley, Central Valley, Chile",tar,0.01
"Riesling, Mosel, Germany",oil,0.01
"Zinfandel, Napa Valley, North Coast, California, USA",sage,0.00
"Bordeaux-style Red Blend, Columbia Valley, Washington, USA",leather,0.01
"Cabernet Sauvignon, Coastal Region, South Africa",chocolate,0.01
"Pinot Grigio, Willamette Valley, Oregon, USA",hibiscus,0.00
"Chardonnay, Finger Lakes, New York, USA",clove,0.00
"Cabernet Franc, Columbia Valley, Washington, USA",stemmy,0.01
"Merlot, Napa Valley, North Coast, California, USA",vegetal,0.00
"Sauvignon Blanc, Santa Barbara, Central Coast, California, USA",peach,0.00
"White Blend, Columbia Valley, Washington, USA",cut_grass,0.01
"Chardonnay, San Francisco Bay, Central Coast, California, USA",citrus_peel,0.01
"Syrah, Napa Valley, North Coast, California, USA",raspberry,0.00
"Cabernet Sauvignon, Colchagua Valley, Central Valley, Chile",foxy,0.01
"Chardonnay, San Luis Obispo, Central Coast, California, USA",pear,0.01
"Gruner Veltliner, Niederosterreich, Austria",ginger,0.00
"Malbec, Columbia Valley, Washington, USA",sulfur,0.00
"Pinot Noir, Monterey, Central Coast, California, USA",lime,0.00
"Riesling, Rheinhessen, Germany",dust,0.00
"Riesling, Rheingau, Germany",nut,0.01
"Pinot Noir, Santa Barbara, Central Coast, California, USA",sagebrush,0.00
"Merlot, Columbia Valley, Washington, USA",sandalwood,0.00
"Sauvignon Blanc, Coastal Region, South Africa",orange,0.01
"Syrah, Paso Robles, Central Coast, California, USA",burnt,0.00
"Syrah, Columbia Valley, Washington, USA",jam,0.01
"Syrah, Sierra Foothills, California, USA",cedar,0.01
"Cabernet Sauvignon, Napa Valley, North Coast, California, USA",milk_chocolate,0.00
"Chardonnay, Columbia Valley, Washington, USA",honey,0.00
"Merlot, Sonoma Valley, North Coast, California, USA",blueberry,0.00
"Chardonnay, Casablanca Valley, Aconcagua Region, Chile",pine,0.00
"Zinfandel, Inland Valleys, California, USA",vanilla,0.00
"Syrah, Sonoma Valley, North Coast, California, USA",steak,0.01
"Chardonnay, Long Island, New York, USA",bramble,0.01
"Chardonnay, Sonoma Valley, North Coast, California, USA",tire_rubber,0.00
"Cabernet Sauvignon, Paso Robles, Central Coast, California, USA",savory,0.00
"Cabernet Sauvignon, Maipo Valley, Central Valley, Chile",cedar,0.01
"Riesling, Niederosterreich, Austria",pineapple,0.00
"Zinfandel, Paso Robles, Central Coast, California, USA",brown_sugar,0.01
"Zinfandel, Sierra Foothills, California, USA",strawberry,0.00
"Sauvignon Blanc, Napa Valley, North Coast, California, USA",concrete,0.00
"Chardonnay, Willamette Valley, Oregon, USA",yeast,0.00
"Cabernet Sauvignon, Sonoma Valley, North Coast, California, USA",savory,0.00
"Pinot Noir, Marlborough, New Zealand",tea,0.00
"Pinot Noir, Sonoma Valley, North Coast, California, USA",pine,0.00
"Cabernet Sauvignon, San Francisco Bay, Central Coast, California, USA",leather,0.01
"Pinot Noir, San Francisco Bay, Central Coast, California, USA",savory,0.00
"Zinfandel, Sonoma Valley, North Coast, California, USA",leather,0.00
"Viognier, Columbia Valley, Washington, USA",watermelon,0.00
"Pinot Noir, San Luis Obispo, Central Coast, California, USA",tobacco,0.00
"Pinot Noir, Willamette Valley, Oregon, USA",fruit-forward,0.00
"Merlot, Long Island, New York, USA",bramble,0.01
"Chardonnay, Napa-Sonoma, North Coast, California, USA",butter_popcorn,0.01
"Sangiovese, Columbia Valley, Washington, USA",meat,0.00
"Cabernet Sauvignon, Columbia Valley, Washington, USA",citrus,0.01
"Sauvignon Blanc, Marlborough, New Zealand",green_bean,0.00
"Sauvignon Blanc, Sonoma Valley, North Coast, California, USA",juicy,0.01
"Riesling, Finger Lakes, New York, USA",dust,0.01
"Pinot Noir, Casablanca Valley, Aconcagua Region, Chile",sweat,0.01
"Syrah, Santa Barbara, Central Coast, California, USA",tangerine,0.00
"Chardonnay, Monterey, Central Coast, California, USA",smoke,0.00
"Chardonnay, Santa Barbara, Central Coast, California, USA",grapefruit,0.00
"Sauvignon Blanc, Columbia Valley, Washington, USA",sappy,0.00
"Pinot Noir, Central Otago, New Zealand",cranberry,0.00
"Sauvignon Blanc, Casablanca Valley, Aconcagua Region, Chile",stone,0.01
"Cabernet Franc, Finger Lakes, New York, USA",perfumed,0.01
"Riesling, Columbia Valley, Washington, USA",beeswax,0.00
"Chardonnay, Napa Valley, North Coast, California, USA",lime,0.00
"Bordeaux-style Red Blend, Napa Valley, North Coast, California, USA",raisin,0.00
"Syrah, Coastal Region, South Africa",sweat,0.01
"Chardonnay, Coastal Region, South Africa",lemon_verbena,0.01
"Merlot, Colchagua Valley, Central Valley, Chile",raspberry,0.01
"Pinot Noir, Napa-Sonoma, North Coast, California, USA",buttery_toast,0.00
"Syrah, Colchagua Valley, Central Valley, Chile",grapey,0.01
"Riesling, Mosel, Germany",orange_blossom,0.01
"Zinfandel, Napa Valley, North Coast, California, USA",tar,0.00
"Bordeaux-style Red Blend, Columbia Valley, Washington, USA",dust,0.01
"Cabernet Sauvignon, Coastal Region, South Africa",cedar,0.01
"Pinot Grigio, Willamette Valley, Oregon, USA",diesel,0.00
"Chardonnay, Finger Lakes, New York, USA",vanilla_cream,0.00
"Cabernet Franc, Columbia Valley, Washington, USA",wax,0.01
"Merlot, Napa Valley, North Coast, California, USA",prune,0.00
"Sauvignon Blanc, Santa Barbara, Central Coast, California, USA",citrus_peel,0.00
"White Blend, Columbia Valley, Washington, USA",herb,0.01
"Syrah, Napa Valley, North Coast, California, USA",marshmallow,0.00
"Cabernet Sauvignon, Colchagua Valley, Central Valley, Chile",grapey,0.01
"Chardonnay, San Luis Obispo, Central Coast, California, USA",french_oak,0.00
"Gruner Veltliner, Niederosterreich, Austria",oil,0.00
"Malbec, Columbia Valley, Washington, USA",wild_berry,0.00
"Pinot Noir, Monterey, Central Coast, California, USA",pastry,0.00
"Riesling, Rheinhessen, Germany",yeast,0.00
"Riesling, Rheingau, Germany",marmalade,0.01
"Pinot Noir, Santa Barbara, Central Coast, California, USA",tea,0.00
"Merlot, Columbia Valley, Washington, USA",tire_rubber,0.00
"Sauvignon Blanc, Coastal Region, South Africa",pineapple,0.01
"Syrah, Paso Robles, Central Coast, California, USA",mint,0.00
"Syrah, Columbia Valley, Washington, USA",olive,0.01
"Syrah, Sierra Foothills, California, USA",yeast,0.01
